updateDate,code,code_name,code_clean,行业
2026-04-13,sh.600000,浦发银行,600000,金融
2026-04-13,sh.600009,上海机场,600009,工业
2026-04-13,sh.600010,包钢股份,600010,原材料
2026-04-13,sh.600011,华能国际,600011,公用事业
2026-04-13,sh.600015,华夏银行,600015,金融
2026-04-13,sh.600016,民生银行,600016,金融
2026-04-13,sh.600018,上港集团,600018,工业
2026-04-13,sh.600019,宝钢股份,600019,原材料
2026-04-13,sh.600023,浙能电力,600023,公用事业
2026-04-13,sh.600025,华能水电,600025,公用事业
2026-04-13,sh.600026,中远海能,600026,工业
2026-04-13,sh.600027,华电国际,600027,公用事业
2026-04-13,sh.600028,中国石化,600028,能源
2026-04-13,sh.600029,南方航空,600029,工业
2026-04-13,sh.600030,中信证券,600030,金融
2026-04-13,sh.600031,三一重工,600031,工业
2026-04-13,sh.600036,招商银行,600036,金融
2026-04-13,sh.600039,四川路桥,600039,工业
2026-04-13,sh.600048,保利发展,600048,房地产
2026-04-13,sh.600050,中国联通,600050,通信服务
2026-04-13,sh.600061,国投资本,600061,金融
2026-04-13,sh.600066,宇通客车,600066,工业
2026-04-13,sh.600085,同仁堂,600085,医药卫生
2026-04-13,sh.600089,特变电工,600089,工业
2026-04-13,sh.600104,上汽集团,600104,可选消费
2026-04-13,sh.600111,北方稀土,600111,原材料
2026-04-13,sh.600115,中国东航,600115,工业
2026-04-13,sh.600150,中国船舶,600150,工业
2026-04-13,sh.600160,巨化股份,600160,原材料
2026-04-13,sh.600161,天坛生物,600161,医药卫生
2026-04-13,sh.600176,中国巨石,600176,原材料
2026-04-13,sh.600183,生益科技,600183,信息技术
2026-04-13,sh.600188,兖矿能源,600188,能源
2026-04-13,sh.600196,复星医药,600196,医药卫生
2026-04-13,sh.600219,南山铝业,600219,原材料
2026-04-13,sh.600233,圆通速递,600233,工业
2026-04-13,sh.600276,恒瑞医药,600276,医药卫生
2026-04-13,sh.600309,万华化学,600309,原材料
2026-04-13,sh.600346,恒力石化,600346,原材料
2026-04-13,sh.600362,江西铜业,600362,原材料
2026-04-13,sh.600372,中航机载,600372,工业
2026-04-13,sh.600377,宁沪高速,600377,工业
2026-04-13,sh.600406,国电南瑞,600406,工业
2026-04-13,sh.600415,小商品城,600415,工业
2026-04-13,sh.600426,华鲁恒升,600426,原材料
2026-04-13,sh.600436,片仔癀,600436,医药卫生
2026-04-13,sh.600438,通威股份,600438,工业
2026-04-13,sh.600460,士兰微,600460,信息技术
2026-04-13,sh.600482,中国动力,600482,工业
2026-04-13,sh.600489,中金黄金,600489,原材料
2026-04-13,sh.600515,海南机场,600515,房地产
2026-04-13,sh.600519,贵州茅台,600519,主要消费
2026-04-13,sh.600522,中天科技,600522,通信服务
2026-04-13,sh.600547,山东黄金,600547,原材料
2026-04-13,sh.600570,恒生电子,600570,信息技术
2026-04-13,sh.600584,长电科技,600584,信息技术
2026-04-13,sh.600585,海螺水泥,600585,原材料
2026-04-13,sh.600588,用友网络,600588,信息技术
2026-04-13,sh.600600,青岛啤酒,600600,主要消费
2026-04-13,sh.600660,福耀玻璃,600660,可选消费
2026-04-13,sh.600674,川投能源,600674,公用事业
2026-04-13,sh.600690,海尔智家,600690,可选消费
2026-04-13,sh.600741,华域汽车,600741,可选消费
2026-04-13,sh.600760,中航沈飞,600760,工业
2026-04-13,sh.600795,国电电力,600795,公用事业
2026-04-13,sh.600803,新奥股份,600803,公用事业
2026-04-13,sh.600809,山西汾酒,600809,主要消费
2026-04-13,sh.600845,宝信软件,600845,信息技术
2026-04-13,sh.600875,东方电气,600875,工业
2026-04-13,sh.600886,国投电力,600886,公用事业
2026-04-13,sh.600887,伊利股份,600887,主要消费
2026-04-13,sh.600893,航发动力,600893,工业
2026-04-13,sh.600900,长江电力,600900,公用事业
2026-04-13,sh.600905,三峡能源,600905,公用事业
2026-04-13,sh.600918,中泰证券,600918,金融
2026-04-13,sh.600919,江苏银行,600919,金融
2026-04-13,sh.600926,杭州银行,600926,金融
2026-04-13,sh.600930,华电新能,600930,公用事业
2026-04-13,sh.600938,中国海油,600938,能源
2026-04-13,sh.600941,中国移动,600941,通信服务
2026-04-13,sh.600958,东方证券,600958,金融
2026-04-13,sh.600989,宝丰能源,600989,原材料
2026-04-13,sh.600999,招商证券,600999,金融
2026-04-13,sh.601006,大秦铁路,601006,工业
2026-04-13,sh.601009,南京银行,601009,金融
2026-04-13,sh.601012,隆基绿能,601012,工业
2026-04-13,sh.601018,宁波港,601018,工业
2026-04-13,sh.601021,春秋航空,601021,工业
